series,month,competition_score,competition_level,jobs,jobs_change,jobseekers,jobseekers_change,jobseekers_per_job,per_job_change,note
Automotive Technician,2025-08,34,Moderate,180,,14856,,83,,first report held; no change printed
Automotive Technician,2025-09,40,Moderate,169,-11,12539,-2317,74,-9,
Automotive Technician,2025-10,36,Moderate,180,+11,13888,+1349,77,+3,
Automotive Technician,2025-11,37,Moderate,125,-55,10139,-3749,81,+4,
Automotive Technician,2025-12,48,Moderate,105,-20,6052,-4087,58,-23,
Automotive Technician,2026-01,,,167,+62,14729,+8677,88,+30,this report printed no competition score
Automotive Technician,2026-02,38,Moderate,153,-14,12291,-2438,80,-8,
Automotive Technician,2026-03,48,Moderate,159,+6,11234,-1057,71,-9,
Automotive Technician,2026-04,47,Moderate,180,+21,12216,+982,68,-3,
Automotive Technician,2026-05,34,Moderate,172,-8,15410,+3194,90,+22,
Automotive Technician,2026-06,33,Low,145,-27,12463,-2947,86,-4,
Automotive Technician,2026-07,31,Low,149,+4,13756,+1293,92,+6,
Automotive Technician,2026-08,30,Low,148,-1,13394,-362,91,-1,
Mechanic,2025-08,71,High,2998,,113410,,38,,first report held; no change printed
Mechanic,2025-09,73,High,2715,-283,107409,-6001,40,+2,
Mechanic,2025-10,73,High,2813,+98,107593,+184,38,-2,
Mechanic,2025-11,67,High,2378,-435,99366,-8227,42,+4,
Mechanic,2025-12,65,Moderate,2362,-16,90771,-8595,38,-4,
Mechanic,2026-01,51,Moderate,2700,+338,183538,+92767,68,+30,
Mechanic,2026-02,64,Moderate,2707,+7,127395,-56143,47,-21,
Mechanic,2026-03,65,Moderate,2835,+128,135577,+8182,48,+1,
Mechanic,2026-04,68,High,2653,-182,121255,-14322,46,-2,
Mechanic,2026-05,68,High,2544,-109,111100,-10155,44,-2,
Mechanic,2026-06,75,High,2581,+37,100110,-10990,39,-5,
Mechanic,2026-07,75,High,2627,+46,94739,-5371,36,-3,
Mechanic,2026-08,82,High,2631,+4,89107,-5632,34,-2,
Vehicle Technician,2025-08,92,High,5714,,100386,,18,,first report held; no change printed
Vehicle Technician,2025-09,93,High,5425,-289,97542,-2844,18,0,change printed as 0
Vehicle Technician,2025-10,93,High,5519,+94,93432,-4110,17,-1,
Vehicle Technician,2025-11,89,High,5000,-519,95554,+2122,19,+2,
Vehicle Technician,2025-12,87,High,4919,-81,80995,-14559,16,-3,
Vehicle Technician,2026-01,88,High,5267,+348,124107,+43112,24,+8,
Vehicle Technician,2026-02,89,High,5511,+244,116025,-8082,21,-3,
Vehicle Technician,2026-03,89,High,5888,+377,128336,+12311,22,+1,
Vehicle Technician,2026-04,91,High,5460,-428,111924,-16412,20,-2,
Vehicle Technician,2026-05,91,High,5551,+91,119769,+7845,22,+2,
Vehicle Technician,2026-06,90,High,5514,-37,133895,+14126,24,+2,
Vehicle Technician,2026-07,92,High,5799,+285,129250,-4645,22,-2,
Vehicle Technician,2026-08,89,High,5741,-58,140865,+11615,25,+3,
